"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 14:31:50 GMT 2024","Tue Aug 27 14:31:51 GMT 2024","638","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:31:54 GMT 2024","Tue Aug 27 14:31:55 GMT 2024","836","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 14:31:51 GMT 2024","Tue Aug 27 14:31:52 GMT 2024","764","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:32:07 GMT 2024","Tue Aug 27 14:32:09 GMT 2024","1127","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:31:59 GMT 2024","Tue Aug 27 14:32:00 GMT 2024","700","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:31:40 GMT 2024","Tue Aug 27 14:31:41 GMT 2024","622","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:31:40 GMT 2024","Tue Aug 27 14:31:40 GMT 2024","567","chromium","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:32:04 GMT 2024","Tue Aug 27 14:32:05 GMT 2024","1129","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:32:01 GMT 2024","Tue Aug 27 14:32:02 GMT 2024","689","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:32:00 GMT 2024","Tue Aug 27 14:32:01 GMT 2024","687","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 14:31:46 GMT 2024","Tue Aug 27 14:31:48 GMT 2024","1765","firefox","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:31:50 GMT 2024","Tue Aug 27 14:31:50 GMT 2024","650","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:31:42 GMT 2024","Tue Aug 27 14:31:43 GMT 2024","511","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:31:43 GMT 2024","Tue Aug 27 14:31:44 GMT 2024","717","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:31:55 GMT 2024","Tue Aug 27 14:31:56 GMT 2024","968","firefox","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:32:02 GMT 2024","Tue Aug 27 14:32:02 GMT 2024","880","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:32:05 GMT 2024","Tue Aug 27 14:32:06 GMT 2024","852","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:31:49 GMT 2024","Tue Aug 27 14:31:50 GMT 2024","613","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:31:45 GMT 2024","Tue Aug 27 14:31:46 GMT 2024","1334","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 14:31:38 GMT 2024","Tue Aug 27 14:31:39 GMT 2024","465","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:31:52 GMT 2024","Tue Aug 27 14:31:53 GMT 2024","917","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
