"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 13:38:42 GMT 2024","Tue Aug 27 13:38:44 GMT 2024","1327","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:38:57 GMT 2024","Tue Aug 27 13:38:58 GMT 2024","738","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:38:44 GMT 2024","Tue Aug 27 13:38:46 GMT 2024","1580","firefox","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:39:06 GMT 2024","Tue Aug 27 13:39:07 GMT 2024","1174","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:38:49 GMT 2024","Tue Aug 27 13:38:50 GMT 2024","938","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:38:46 GMT 2024","Tue Aug 27 13:38:46 GMT 2024","538","firefox","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:38:35 GMT 2024","Tue Aug 27 13:38:36 GMT 2024","1477","chromium","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:38:51 GMT 2024","Tue Aug 27 13:38:52 GMT 2024","894","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:38:56 GMT 2024","Tue Aug 27 13:38:57 GMT 2024","1703","webkit","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:38:48 GMT 2024","Tue Aug 27 13:38:49 GMT 2024","703","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:39:05 GMT 2024","Tue Aug 27 13:39:06 GMT 2024","1224","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:38:54 GMT 2024","Tue Aug 27 13:38:55 GMT 2024","1055","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:38:37 GMT 2024","Tue Aug 27 13:38:37 GMT 2024","392","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:39:04 GMT 2024","Tue Aug 27 13:39:05 GMT 2024","915","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:38:38 GMT 2024","Tue Aug 27 13:38:39 GMT 2024","576","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:38:39 GMT 2024","Tue Aug 27 13:38:39 GMT 2024","611","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:38:34 GMT 2024","Tue Aug 27 13:38:34 GMT 2024","595","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:39:03 GMT 2024","Tue Aug 27 13:39:04 GMT 2024","1239","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:38:39 GMT 2024","Tue Aug 27 13:38:40 GMT 2024","676","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:39:02 GMT 2024","Tue Aug 27 13:39:03 GMT 2024","1084","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:38:58 GMT 2024","Tue Aug 27 13:38:59 GMT 2024","746","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:38:40 GMT 2024","Tue Aug 27 13:38:41 GMT 2024","692","chromium","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:38:52 GMT 2024","Tue Aug 27 13:38:53 GMT 2024","1104","firefox","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:38:47 GMT 2024","Tue Aug 27 13:38:47 GMT 2024","543","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:38:40 GMT 2024","Tue Aug 27 13:38:40 GMT 2024","497","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:38:36 GMT 2024","Tue Aug 27 13:38:36 GMT 2024","457","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:38:41 GMT 2024","Tue Aug 27 13:38:42 GMT 2024","779","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:38:49 GMT 2024","Tue Aug 27 13:38:49 GMT 2024","765","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:38:46 GMT 2024","Tue Aug 27 13:38:47 GMT 2024","577","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:38:50 GMT 2024","Tue Aug 27 13:38:51 GMT 2024","838","firefox","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:38:37 GMT 2024","Tue Aug 27 13:38:37 GMT 2024","429","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:39:01 GMT 2024","Tue Aug 27 13:39:02 GMT 2024","1085","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:39:00 GMT 2024","Tue Aug 27 13:39:01 GMT 2024","981","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:38:37 GMT 2024","Tue Aug 27 13:38:38 GMT 2024","582","chromium","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:38:47 GMT 2024","Tue Aug 27 13:38:48 GMT 2024","652","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:38:59 GMT 2024","Tue Aug 27 13:39:00 GMT 2024","714","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
