"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 13:53:54 GMT 2024","Tue Aug 27 13:53:55 GMT 2024","715","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:54:03 GMT 2024","Tue Aug 27 13:54:04 GMT 2024","718","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:54:14 GMT 2024","Tue Aug 27 13:54:15 GMT 2024","674","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:54:00 GMT 2024","Tue Aug 27 13:54:02 GMT 2024","1635","firefox","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:53:53 GMT 2024","Tue Aug 27 13:53:53 GMT 2024","410","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:54:20 GMT 2024","Tue Aug 27 13:54:21 GMT 2024","885","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:54:16 GMT 2024","Tue Aug 27 13:54:17 GMT 2024","872","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:53:55 GMT 2024","Tue Aug 27 13:53:56 GMT 2024","688","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:53:50 GMT 2024","Tue Aug 27 13:53:52 GMT 2024","1501","chromium","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:54:19 GMT 2024","Tue Aug 27 13:54:20 GMT 2024","1123","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:54:07 GMT 2024","Tue Aug 27 13:54:08 GMT 2024","933","firefox","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:53:58 GMT 2024","Tue Aug 27 13:53:59 GMT 2024","1384","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:53:52 GMT 2024","Tue Aug 27 13:53:53 GMT 2024","429","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:54:08 GMT 2024","Tue Aug 27 13:54:09 GMT 2024","910","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:53:56 GMT 2024","Tue Aug 27 13:53:56 GMT 2024","532","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:54:15 GMT 2024","Tue Aug 27 13:54:16 GMT 2024","838","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:54:02 GMT 2024","Tue Aug 27 13:54:02 GMT 2024","745","firefox","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:53:52 GMT 2024","Tue Aug 27 13:53:52 GMT 2024","467","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:54:14 GMT 2024","Tue Aug 27 13:54:14 GMT 2024","706","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:54:02 GMT 2024","Tue Aug 27 13:54:03 GMT 2024","572","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:54:11 GMT 2024","Tue Aug 27 13:54:12 GMT 2024","1085","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:54:03 GMT 2024","Tue Aug 27 13:54:03 GMT 2024","585","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:53:56 GMT 2024","Tue Aug 27 13:53:57 GMT 2024","724","chromium","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:54:21 GMT 2024","Tue Aug 27 13:54:22 GMT 2024","1160","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:54:22 GMT 2024","Tue Aug 27 13:54:23 GMT 2024","1206","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:54:18 GMT 2024","Tue Aug 27 13:54:19 GMT 2024","950","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:53:49 GMT 2024","Tue Aug 27 13:53:50 GMT 2024","642","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:54:12 GMT 2024","Tue Aug 27 13:54:14 GMT 2024","1498","webkit","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:53:53 GMT 2024","Tue Aug 27 13:53:54 GMT 2024","585","chromium","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:54:06 GMT 2024","Tue Aug 27 13:54:07 GMT 2024","958","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:54:05 GMT 2024","Tue Aug 27 13:54:06 GMT 2024","859","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:54:17 GMT 2024","Tue Aug 27 13:54:18 GMT 2024","955","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:53:57 GMT 2024","Tue Aug 27 13:53:58 GMT 2024","729","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:54:09 GMT 2024","Tue Aug 27 13:54:10 GMT 2024","1057","firefox","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:54:04 GMT 2024","Tue Aug 27 13:54:05 GMT 2024","660","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:53:54 GMT 2024","Tue Aug 27 13:53:54 GMT 2024","576","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
