"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 14:31:03 GMT 2024","Tue Aug 27 14:31:05 GMT 2024","1569","webkit","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:31:11 GMT 2024","Tue Aug 27 14:31:12 GMT 2024","948","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:31:12 GMT 2024","Tue Aug 27 14:31:13 GMT 2024","1182","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 14:31:08 GMT 2024","Tue Aug 27 14:31:09 GMT 2024","918","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:30:57 GMT 2024","Tue Aug 27 14:30:58 GMT 2024","977","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:30:48 GMT 2024","Tue Aug 27 14:30:49 GMT 2024","710","chromium","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 14:31:06 GMT 2024","Tue Aug 27 14:31:07 GMT 2024","819","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 14:30:47 GMT 2024","Tue Aug 27 14:30:47 GMT 2024","752","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:30:55 GMT 2024","Tue Aug 27 14:30:55 GMT 2024","679","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:30:44 GMT 2024","Tue Aug 27 14:30:45 GMT 2024","508","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:30:43 GMT 2024","Tue Aug 27 14:30:44 GMT 2024","433","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:31:09 GMT 2024","Tue Aug 27 14:31:10 GMT 2024","1047","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:30:45 GMT 2024","Tue Aug 27 14:30:46 GMT 2024","575","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:31:13 GMT 2024","Tue Aug 27 14:31:15 GMT 2024","1209","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
