"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 27 13:26:51 GMT 2024","Tue Aug 27 13:26:51 GMT 2024","10","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"failed","Tue Aug 27 13:26:45 GMT 2024","Tue Aug 27 13:26:45 GMT 2024","11","chromium","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"failed","Tue Aug 27 13:26:50 GMT 2024","Tue Aug 27 13:26:50 GMT 2024","10","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"failed","Tue Aug 27 13:26:49 GMT 2024","Tue Aug 27 13:26:49 GMT 2024","16","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"failed","Tue Aug 27 13:26:43 GMT 2024","Tue Aug 27 13:26:43 GMT 2024","10","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"failed","Tue Aug 27 13:26:43 GMT 2024","Tue Aug 27 13:26:43 GMT 2024","10","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"failed","Tue Aug 27 13:26:45 GMT 2024","Tue Aug 27 13:26:45 GMT 2024","7","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"failed","Tue Aug 27 13:26:47 GMT 2024","Tue Aug 27 13:26:47 GMT 2024","7","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"failed","Tue Aug 27 13:26:45 GMT 2024","Tue Aug 27 13:26:45 GMT 2024","11","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"failed","Tue Aug 27 13:26:46 GMT 2024","Tue Aug 27 13:26:46 GMT 2024","10","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"failed","Tue Aug 27 13:26:48 GMT 2024","Tue Aug 27 13:26:48 GMT 2024","7","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"failed","Tue Aug 27 13:26:43 GMT 2024","Tue Aug 27 13:26:43 GMT 2024","11","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"failed","Tue Aug 27 13:26:49 GMT 2024","Tue Aug 27 13:26:49 GMT 2024","8","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"failed","Tue Aug 27 13:26:48 GMT 2024","Tue Aug 27 13:26:48 GMT 2024","7","firefox","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"failed","Tue Aug 27 13:26:49 GMT 2024","Tue Aug 27 13:26:49 GMT 2024","9","webkit","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"failed","Tue Aug 27 13:26:42 GMT 2024","Tue Aug 27 13:26:42 GMT 2024","10","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
"failed","Tue Aug 27 13:26:50 GMT 2024","Tue Aug 27 13:26:50 GMT 2024","7","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"failed","Tue Aug 27 13:26:52 GMT 2024","Tue Aug 27 13:26:52 GMT 2024","7","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"failed","Tue Aug 27 13:26:46 GMT 2024","Tue Aug 27 13:26:46 GMT 2024","7","firefox","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"failed","Tue Aug 27 13:26:50 GMT 2024","Tue Aug 27 13:26:50 GMT 2024","12","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"failed","Tue Aug 27 13:26:46 GMT 2024","Tue Aug 27 13:26:46 GMT 2024","8","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"failed","Tue Aug 27 13:26:49 GMT 2024","Tue Aug 27 13:26:49 GMT 2024","9","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
"failed","Tue Aug 27 13:26:42 GMT 2024","Tue Aug 27 13:26:42 GMT 2024","11","chromium","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"failed","Tue Aug 27 13:26:47 GMT 2024","Tue Aug 27 13:26:47 GMT 2024","8","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"failed","Tue Aug 27 13:26:45 GMT 2024","Tue Aug 27 13:26:45 GMT 2024","7","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"failed","Tue Aug 27 13:26:51 GMT 2024","Tue Aug 27 13:26:51 GMT 2024","9","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"failed","Tue Aug 27 13:26:48 GMT 2024","Tue Aug 27 13:26:48 GMT 2024","8","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"failed","Tue Aug 27 13:26:48 GMT 2024","Tue Aug 27 13:26:48 GMT 2024","8","firefox","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"failed","Tue Aug 27 13:26:43 GMT 2024","Tue Aug 27 13:26:43 GMT 2024","10","chromium","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"failed","Tue Aug 27 13:26:46 GMT 2024","Tue Aug 27 13:26:46 GMT 2024","8","firefox","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"failed","Tue Aug 27 13:26:47 GMT 2024","Tue Aug 27 13:26:47 GMT 2024","10","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"failed","Tue Aug 27 13:26:47 GMT 2024","Tue Aug 27 13:26:47 GMT 2024","9","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"failed","Tue Aug 27 13:26:44 GMT 2024","Tue Aug 27 13:26:44 GMT 2024","11","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"failed","Tue Aug 27 13:26:44 GMT 2024","Tue Aug 27 13:26:44 GMT 2024","9","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"failed","Tue Aug 27 13:26:50 GMT 2024","Tue Aug 27 13:26:50 GMT 2024","8","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"failed","Tue Aug 27 13:26:52 GMT 2024","Tue Aug 27 13:26:52 GMT 2024","8","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
