"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 13:49:23 GMT 2024","Tue Aug 27 13:49:24 GMT 2024","1022","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:49:14 GMT 2024","Tue Aug 27 13:49:15 GMT 2024","761","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:49:21 GMT 2024","Tue Aug 27 13:49:21 GMT 2024","699","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:49:39 GMT 2024","Tue Aug 27 13:49:40 GMT 2024","1249","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:49:37 GMT 2024","Tue Aug 27 13:49:38 GMT 2024","951","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:49:32 GMT 2024","Tue Aug 27 13:49:33 GMT 2024","714","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:49:12 GMT 2024","Tue Aug 27 13:49:13 GMT 2024","698","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:49:28 GMT 2024","Tue Aug 27 13:49:29 GMT 2024","1084","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:49:10 GMT 2024","Tue Aug 27 13:49:10 GMT 2024","473","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:49:34 GMT 2024","Tue Aug 27 13:49:35 GMT 2024","893","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:49:13 GMT 2024","Tue Aug 27 13:49:14 GMT 2024","541","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:49:21 GMT 2024","Tue Aug 27 13:49:22 GMT 2024","741","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:49:16 GMT 2024","Tue Aug 27 13:49:17 GMT 2024","1372","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:49:20 GMT 2024","Tue Aug 27 13:49:21 GMT 2024","577","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:49:36 GMT 2024","Tue Aug 27 13:49:37 GMT 2024","1176","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:49:33 GMT 2024","Tue Aug 27 13:49:34 GMT 2024","869","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:49:07 GMT 2024","Tue Aug 27 13:49:07 GMT 2024","578","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:49:38 GMT 2024","Tue Aug 27 13:49:39 GMT 2024","1185","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:49:11 GMT 2024","Tue Aug 27 13:49:12 GMT 2024","558","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:49:25 GMT 2024","Tue Aug 27 13:49:26 GMT 2024","996","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
