"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 14:35:32 GMT 2024","Tue Aug 27 14:35:33 GMT 2024","580","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:35:35 GMT 2024","Tue Aug 27 14:35:35 GMT 2024","810","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:35:25 GMT 2024","Tue Aug 27 14:35:25 GMT 2024","694","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:35:49 GMT 2024","Tue Aug 27 14:35:50 GMT 2024","962","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:35:24 GMT 2024","Tue Aug 27 14:35:24 GMT 2024","542","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:35:30 GMT 2024","Tue Aug 27 14:35:31 GMT 2024","1710","firefox","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:35:22 GMT 2024","Tue Aug 27 14:35:22 GMT 2024","481","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:35:45 GMT 2024","Tue Aug 27 14:35:46 GMT 2024","927","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:35:50 GMT 2024","Tue Aug 27 14:35:51 GMT 2024","1168","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 14:35:35 GMT 2024","Tue Aug 27 14:35:36 GMT 2024","978","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:35:20 GMT 2024","Tue Aug 27 14:35:22 GMT 2024","1489","chromium","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:35:34 GMT 2024","Tue Aug 27 14:35:35 GMT 2024","807","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:35:38 GMT 2024","Tue Aug 27 14:35:39 GMT 2024","886","firefox","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:35:27 GMT 2024","Tue Aug 27 14:35:27 GMT 2024","773","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:35:40 GMT 2024","Tue Aug 27 14:35:41 GMT 2024","1056","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
