"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 13:30:58 GMT 2024","Tue Aug 27 13:30:59 GMT 2024","1186","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:30:38 GMT 2024","Tue Aug 27 13:30:39 GMT 2024","635","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:30:51 GMT 2024","Tue Aug 27 13:30:52 GMT 2024","851","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:30:27 GMT 2024","Tue Aug 27 13:30:28 GMT 2024","458","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:30:28 GMT 2024","Tue Aug 27 13:30:28 GMT 2024","427","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:30:25 GMT 2024","Tue Aug 27 13:30:25 GMT 2024","666","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:30:45 GMT 2024","Tue Aug 27 13:30:46 GMT 2024","1099","firefox","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:30:54 GMT 2024","Tue Aug 27 13:30:56 GMT 2024","1127","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:30:30 GMT 2024","Tue Aug 27 13:30:31 GMT 2024","764","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:30:41 GMT 2024","Tue Aug 27 13:30:42 GMT 2024","843","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:30:48 GMT 2024","Tue Aug 27 13:30:50 GMT 2024","1569","webkit","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:30:28 GMT 2024","Tue Aug 27 13:30:29 GMT 2024","571","chromium","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:30:43 GMT 2024","Tue Aug 27 13:30:44 GMT 2024","828","firefox","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:30:32 GMT 2024","Tue Aug 27 13:30:33 GMT 2024","835","chromium","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:30:57 GMT 2024","Tue Aug 27 13:30:58 GMT 2024","967","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:30:47 GMT 2024","Tue Aug 27 13:30:48 GMT 2024","1139","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:30:53 GMT 2024","Tue Aug 27 13:30:54 GMT 2024","1059","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:30:42 GMT 2024","Tue Aug 27 13:30:43 GMT 2024","953","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:30:30 GMT 2024","Tue Aug 27 13:30:30 GMT 2024","738","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:30:31 GMT 2024","Tue Aug 27 13:30:32 GMT 2024","596","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:30:40 GMT 2024","Tue Aug 27 13:30:41 GMT 2024","917","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:30:56 GMT 2024","Tue Aug 27 13:30:57 GMT 2024","1172","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:30:59 GMT 2024","Tue Aug 27 13:31:00 GMT 2024","1237","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:30:50 GMT 2024","Tue Aug 27 13:30:51 GMT 2024","731","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:30:33 GMT 2024","Tue Aug 27 13:30:33 GMT 2024","794","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 13:30:34 GMT 2024","Tue Aug 27 13:30:35 GMT 2024","1446","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 13:30:27 GMT 2024","Tue Aug 27 13:30:27 GMT 2024","515","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:30:25 GMT 2024","Tue Aug 27 13:30:27 GMT 2024","1498","chromium","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:30:52 GMT 2024","Tue Aug 27 13:30:53 GMT 2024","1012","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:30:52 GMT 2024","Tue Aug 27 13:30:52 GMT 2024","748","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:30:44 GMT 2024","Tue Aug 27 13:30:45 GMT 2024","943","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:30:37 GMT 2024","Tue Aug 27 13:30:38 GMT 2024","660","firefox","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:30:39 GMT 2024","Tue Aug 27 13:30:39 GMT 2024","726","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 13:30:29 GMT 2024","Tue Aug 27 13:30:30 GMT 2024","578","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:30:36 GMT 2024","Tue Aug 27 13:30:37 GMT 2024","1696","firefox","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 13:30:39 GMT 2024","Tue Aug 27 13:30:40 GMT 2024","841","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
