"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 14:18:27 GMT 2024","Tue Aug 27 14:18:28 GMT 2024","800","firefox","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:18:18 GMT 2024","Tue Aug 27 14:18:20 GMT 2024","1317","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 14:18:10 GMT 2024","Tue Aug 27 14:18:11 GMT 2024","1523","chromium","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:18:16 GMT 2024","Tue Aug 27 14:18:16 GMT 2024","528","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:18:40 GMT 2024","Tue Aug 27 14:18:41 GMT 2024","953","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:18:12 GMT 2024","Tue Aug 27 14:18:13 GMT 2024","462","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:18:09 GMT 2024","Tue Aug 27 14:18:10 GMT 2024","586","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 14:18:35 GMT 2024","Tue Aug 27 14:18:35 GMT 2024","752","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 14:18:16 GMT 2024","Tue Aug 27 14:18:17 GMT 2024","695","chromium","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 14:18:38 GMT 2024","Tue Aug 27 14:18:39 GMT 2024","1001","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:18:35 GMT 2024","Tue Aug 27 14:18:36 GMT 2024","730","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:18:34 GMT 2024","Tue Aug 27 14:18:35 GMT 2024","742","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
