"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 13:44:05 GMT 2024","Tue Aug 27 13:44:06 GMT 2024","942","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 13:44:07 GMT 2024","Tue Aug 27 13:44:08 GMT 2024","1221","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:43:54 GMT 2024","Tue Aug 27 13:43:55 GMT 2024","939","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 13:44:02 GMT 2024","Tue Aug 27 13:44:03 GMT 2024","697","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:43:43 GMT 2024","Tue Aug 27 13:43:44 GMT 2024","646","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:43:52 GMT 2024","Tue Aug 27 13:43:53 GMT 2024","670","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 13:43:51 GMT 2024","Tue Aug 27 13:43:52 GMT 2024","549","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 13:43:45 GMT 2024","Tue Aug 27 13:43:45 GMT 2024","563","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 13:43:41 GMT 2024","Tue Aug 27 13:43:41 GMT 2024","521","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 13:43:54 GMT 2024","Tue Aug 27 13:43:54 GMT 2024","782","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 13:44:09 GMT 2024","Tue Aug 27 13:44:10 GMT 2024","1116","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 13:43:46 GMT 2024","Tue Aug 27 13:43:47 GMT 2024","754","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
