"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 27 14:20:39 GMT 2024","Tue Aug 27 14:20:39 GMT 2024","9","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"failed","Tue Aug 27 14:20:15 GMT 2024","Tue Aug 27 14:20:15 GMT 2024","7","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"failed","Tue Aug 27 14:20:34 GMT 2024","Tue Aug 27 14:20:34 GMT 2024","8","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
"failed","Tue Aug 27 14:20:46 GMT 2024","Tue Aug 27 14:20:46 GMT 2024","9","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"failed","Tue Aug 27 14:20:24 GMT 2024","Tue Aug 27 14:20:24 GMT 2024","7","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"failed","Tue Aug 27 14:20:26 GMT 2024","Tue Aug 27 14:20:26 GMT 2024","8","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"failed","Tue Aug 27 14:20:32 GMT 2024","Tue Aug 27 14:20:32 GMT 2024","7","firefox","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"failed","Tue Aug 27 14:20:38 GMT 2024","Tue Aug 27 14:20:38 GMT 2024","8","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"failed","Tue Aug 27 14:20:17 GMT 2024","Tue Aug 27 14:20:17 GMT 2024","9","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"failed","Tue Aug 27 14:20:35 GMT 2024","Tue Aug 27 14:20:35 GMT 2024","8","webkit","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"failed","Tue Aug 27 14:20:41 GMT 2024","Tue Aug 27 14:20:41 GMT 2024","7","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"failed","Tue Aug 27 14:20:13 GMT 2024","Tue Aug 27 14:20:13 GMT 2024","12","chromium","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"failed","Tue Aug 27 14:20:27 GMT 2024","Tue Aug 27 14:20:27 GMT 2024","9","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"failed","Tue Aug 27 14:20:12 GMT 2024","Tue Aug 27 14:20:12 GMT 2024","7","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"failed","Tue Aug 27 14:20:31 GMT 2024","Tue Aug 27 14:20:31 GMT 2024","9","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"failed","Tue Aug 27 14:20:10 GMT 2024","Tue Aug 27 14:20:10 GMT 2024","7","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"failed","Tue Aug 27 14:20:37 GMT 2024","Tue Aug 27 14:20:37 GMT 2024","8","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"failed","Tue Aug 27 14:20:07 GMT 2024","Tue Aug 27 14:20:07 GMT 2024","7","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
