"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 14:04:22 GMT 2024","Tue Aug 27 14:04:23 GMT 2024","696","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:04:19 GMT 2024","Tue Aug 27 14:04:20 GMT 2024","638","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:04:49 GMT 2024","Tue Aug 27 14:04:51 GMT 2024","1186","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:04:31 GMT 2024","Tue Aug 27 14:04:32 GMT 2024","741","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:04:47 GMT 2024","Tue Aug 27 14:04:48 GMT 2024","923","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:04:20 GMT 2024","Tue Aug 27 14:04:20 GMT 2024","521","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 14:04:33 GMT 2024","Tue Aug 27 14:04:34 GMT 2024","940","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:04:43 GMT 2024","Tue Aug 27 14:04:44 GMT 2024","873","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:04:48 GMT 2024","Tue Aug 27 14:04:49 GMT 2024","1165","webkit","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 14:04:24 GMT 2024","Tue Aug 27 14:04:25 GMT 2024","761","chromium","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:04:38 GMT 2024","Tue Aug 27 14:04:39 GMT 2024","1095","webkit","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 14:04:42 GMT 2024","Tue Aug 27 14:04:43 GMT 2024","745","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 14:04:21 GMT 2024","Tue Aug 27 14:04:21 GMT 2024","646","chromium","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:04:29 GMT 2024","Tue Aug 27 14:04:30 GMT 2024","584","firefox","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:04:45 GMT 2024","Tue Aug 27 14:04:46 GMT 2024","1009","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:04:22 GMT 2024","Tue Aug 27 14:04:22 GMT 2024","629","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:04:46 GMT 2024","Tue Aug 27 14:04:47 GMT 2024","1147","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:04:43 GMT 2024","Tue Aug 27 14:04:43 GMT 2024","752","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:04:41 GMT 2024","Tue Aug 27 14:04:42 GMT 2024","718","webkit","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
